,record_id,user_id,datetime,current_pb,ever_pb,final_time,pps,inputs,score,pieces_placed,singles,doubles,triples,quads,all_clears,finesse_faults,finesse_perf
59,670eeb6fb9005596b43155a4,62a51397bf6ce5ce2e84b6cd,2024-10-15T22:23:43.270Z,False,False,26016.666666666668,5.150544522741832,469,38214,134,0,0,0,0,0,0,134
60,670dba69ad3121ce88b38cf5,62a51397bf6ce5ce2e84b6cd,2024-10-15T00:42:17.935Z,False,False,20125,5.1201325600662795,321,14534,103,14,6,1,2,1,9,98
61,670d6e3ade49a9c9035a7ebf,62a51397bf6ce5ce2e84b6cd,2024-10-14T19:17:14.219Z,False,False,27531.666666666668,4.942459115687463,475,38315,136,0,0,0,0,0,0,136
62,670d6b916248765443aa9b93,62a51397bf6ce5ce2e84b6cd,2024-10-14T19:05:53.081Z,False,False,27261.666666666668,5.064220183486238,481,38257,138,0,0,0,0,0,4,136
63,670be408d5273a478f3d8d09,62a51397bf6ce5ce2e84b6cd,2024-10-13T15:15:20.426Z,False,False,27678.333333333332,4.9879518072289155,460,38221,138,0,0,0,0,0,0,138
64,670b1b37913e03a9a4ac64c6,62a51397bf6ce5ce2e84b6cd,2024-10-13T00:58:31.061Z,False,False,16760,6.029850746268656,323,8314,101,40,0,0,0,0,2,99
65,670b0f346784f768a4fbc9c7,62a51397bf6ce5ce2e84b6cd,2024-10-13T00:07:16.050Z,False,False,16796.666666666668,6.31578947368421,321,11595,106,9,1,3,5,0,6,101
66,670b071572bffbcee4a62a7a,62a51397bf6ce5ce2e84b6cd,2024-10-12T23:32:37.711Z,False,False,65083.333333333336,2.2586427656850194,541,36717,147,2,0,0,0,0,20,139
67,670b0101c9650c22a733fafa,62a51397bf6ce5ce2e84b6cd,2024-10-12T23:06:41.986Z,False,False,24905,5.542168674698796,493,38275,138,0,0,0,0,0,0,138
68,670b0055d5273a478f3d714e,62a51397bf6ce5ce2e84b6cd,2024-10-12T23:03:49.028Z,False,False,25710,5.408560311284047,469,38371,139,0,0,0,0,0,1,138
69,670ae20e9035a7b4fb8717e8,62a51397bf6ce5ce2e84b6cd,2024-10-12T20:54:38.669Z,False,False,26145,5.280612244897959,482,38229,138,0,0,0,0,0,1,137
70,670ae00b5fe716ba62c6ac8a,62a51397bf6ce5ce2e84b6cd,2024-10-12T20:46:03.022Z,False,False,20250,5.037037037037037,300,14259,102,2,1,0,9,0,0,102
71,670ac9c3913e03a9a4ac5d64,62a51397bf6ce5ce2e84b6cd,2024-10-12T19:10:59.772Z,False,False,87183.33333333333,1.6975721659338558,563,10062,148,21,7,1,0,0,44,137
72,670ac6a5fc66035ca05ed98f,62a51397bf6ce5ce2e84b6cd,2024-10-12T18:57:41.006Z,False,False,18333.333333333332,5.618181818181818,320,11683,103,5,4,1,6,0,3,101
73,670ab849fc21b8e874225034,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:56:25.738Z,False,False,26068.333333333332,5.255754475703325,464,38277,137,0,0,0,0,0,1,136
74,670ab7546784f768a4fbc1fc,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:52:20.859Z,False,False,28655,4.781849912739966,463,38249,137,0,0,0,0,0,1,136
75,670ab6e15fe716ba62c6a8ba,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:50:25.357Z,False,False,16343.333333333334,6.612244897959184,323,14638,108,0,1,0,10,0,0,108
76,670ab6517253b34ec1aaa1e5,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:48:01.947Z,False,False,18360,5.5585831062670295,309,12151,102,7,3,3,4,0,3,100
77,670ab6364aef43a494461d1f,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:47:34.927Z,False,False,16330,6.251276813074566,296,12378,102,4,2,0,8,0,7,98
78,670ab48b5fe716ba62c6a85c,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:40:27.708Z,False,False,16993.333333333332,6.005888125613346,295,12919,102,3,1,1,8,0,1,101
79,670ab4665fe716ba62c6a853,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:39:50.522Z,False,False,19445,5.351629502572899,298,13588,104,4,0,0,9,0,0,104
80,670ab4425fe716ba62c6a84f,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:39:14.904Z,False,False,20266.666666666668,5.180921052631579,304,14872,105,0,2,1,8,0,9,102
81,670ab427267b6ad29da48521,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:38:47.352Z,False,False,17159.999999999996,5.889212827988339,275,14127,101,1,0,1,9,0,0,101
82,670ab412fc21b8e874224fbd,62a51397bf6ce5ce2e84b6cd,2024-10-12T17:38:26.243Z,False,False,18430,5.538461538461538,296,12952,102,3,1,1,8,0,1,101
83,67099246fc21b8e874222d1e,62a51397bf6ce5ce2e84b6cd,2024-10-11T21:01:58.659Z,False,False,19705,5.126903553299493,262,13032,101,6,1,0,8,0,0,101
84,6709784f4aef43a494460880,62a51397bf6ce5ce2e84b6cd,2024-10-11T19:11:11.791Z,False,False,27125,4.9784880147510755,470,38211,135,0,0,0,0,0,3,133
85,6708511c9035a7b4fb831cb1,62a51397bf6ce5ce2e84b6cd,2024-10-10T22:11:40.871Z,False,False,23725,4.38510189739986,274,11354,104,8,1,2,6,0,0,104
86,6707e9fa4aef43a49445e939,62a51397bf6ce5ce2e84b6cd,2024-10-10T14:51:38.290Z,False,False,18623.333333333332,6.069829901521934,343,11507,113,12,3,2,4,0,4,110
87,6707e908fc21b8e87421f552,62a51397bf6ce5ce2e84b6cd,2024-10-10T14:47:36.156Z,False,False,27641.666666666668,5.066344993968637,492,38334,140,0,0,0,0,0,2,139
88,6707e796267b6ad29da42e5c,62a51397bf6ce5ce2e84b6cd,2024-10-10T14:41:26.870Z,False,False,26978.333333333332,5.117428924598269,473,38157,138,0,0,0,0,0,1,137
89,6707e74a546813c99c5460ad,62a51397bf6ce5ce2e84b6cd,2024-10-10T14:40:10.589Z,False,False,19626.666666666668,5.199660152931181,273,14422,102,0,0,0,10,0,4,101
90,6707e640913e03a9a4abfe32,62a51397bf6ce5ce2e84b6cd,2024-10-10T14:35:44.407Z,False,False,29993.333333333332,4.569205113952195,441,38279,137,0,0,0,0,0,3,135
91,67069d587253b34ec1aa1d7c,62a51397bf6ce5ce2e84b6cd,2024-10-09T15:12:24.210Z,False,False,26061.666666666668,5.259117082533589,455,38253,137,0,0,0,0,0,0,137
92,670548986784f768a4fb12c0,62a51397bf6ce5ce2e84b6cd,2024-10-08T14:58:32.376Z,False,False,28808.333333333332,4.618055555555555,451,38079,133,0,0,0,0,0,6,131
93,670494d05fe716ba62c5e33c,62a51397bf6ce5ce2e84b6cd,2024-10-08T02:11:28.472Z,False,False,19350,5.219638242894057,258,13650,101,2,1,0,9,0,0,101
94,670438685fe716ba62c5d9f0,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:37:12.514Z,False,False,13745,7.3543689320388355,294,14161,101,1,0,1,9,0,4,97
95,670436b69035a7b4fb7ca4a4,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:29:58.138Z,False,False,27838.333333333332,4.994011976047904,475,38190,139,0,0,0,0,0,0,139
96,6704362ffc21b8e874217bcf,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:27:43.199Z,False,False,18371.666666666668,5.607985480943738,282,13792,103,3,1,1,8,0,3,101
97,670436087253b34ec1a9cea0,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:27:04.315Z,False,False,29156.666666666668,4.69982847341338,474,38278,137,0,0,0,0,0,3,135
98,67043567913e03a9a4ab7f74,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:24:23.487Z,False,False,18550,5.498652291105121,301,12929,102,6,3,0,7,0,1,101
99,670435456784f768a4faf193,62a51397bf6ce5ce2e84b6cd,2024-10-07T19:23:49.273Z,False,False,18940,5.598591549295775,281,12752,106,2,5,0,7,0,0,106
100,670358ac913e03a9a4ab616a,62a51397bf6ce5ce2e84b6cd,2024-10-07T03:42:36.274Z,False,False,15836.666666666666,6.378947368421052,286,14165,101,1,0,1,9,0,0,101
101,6703587fd5273a478f3c71f0,62a51397bf6ce5ce2e84b6cd,2024-10-07T03:41:51.869Z,False,False,20478.333333333332,5.081433224755701,322,9709,104,13,3,3,3,0,13,95
102,67035852d5273a478f3c71ea,62a51397bf6ce5ce2e84b6cd,2024-10-07T03:41:06.192Z,False,False,17016.666666666668,5.994123408423115,320,12524,102,3,3,1,7,0,1,101
103,6703423c7253b34ec1a9ade2,62a51397bf6ce5ce2e84b6cd,2024-10-07T02:06:52.637Z,False,False,46610,2.896995708154506,468,38293,135,0,0,0,0,0,1,134
104,670341cb9035a7b4fb7b1612,62a51397bf6ce5ce2e84b6cd,2024-10-07T02:04:59.182Z,False,False,75800,1.9656992084432718,584,37997,149,0,0,0,1,0,37,142
105,6702cbf8045a1b46e5134c23,62a51397bf6ce5ce2e84b6cd,2024-10-06T17:42:16.729Z,False,False,17933.333333333332,6.4684014869888475,357,12558,116,5,0,1,8,0,2,114
106,6702be327253b34ec1a9a09b,62a51397bf6ce5ce2e84b6cd,2024-10-06T16:43:30.750Z,False,False,25700,5.330739299610895,470,38289,137,0,0,0,0,0,4,134
107,6701b615fc21b8e874212f45,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:56:37.703Z,False,False,22210,5.36036036036036,371,14167,119,13,8,2,1,1,5,118
108,6701b504d5273a478f3c4240,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:52:04.152Z,False,False,46078.333333333336,3.2344428364688853,471,11238,149,12,3,2,4,0,23,141
109,6701b4d19035a7b4fb78e353,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:51:13.169Z,False,False,18918.333333333332,5.4449339207048455,281,14116,103,1,0,1,9,0,0,103
110,6701aed0267b6ad29da370dc,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:25:36.199Z,False,False,17576.666666666668,6.432637571157495,359,12431,113,2,4,2,6,0,1,112
111,6701ae2f9035a7b4fb78dbb2,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:22:55.538Z,False,False,25410,5.31496062992126,471,38191,135,0,0,0,0,0,2,134
112,6701ada7913e03a9a4ab3167,62a51397bf6ce5ce2e84b6cd,2024-10-05T21:20:39.026Z,False,False,34419.99999999999,3.428571428571429,415,28213,118,8,2,0,1,0,9,114
113,670157f26784f768a4fa9bdc,62a51397bf6ce5ce2e84b6cd,2024-10-05T15:14:58.925Z,False,False,20208.333333333332,5.198019801980198,315,13784,105,2,2,0,8,0,3,102
114,670157c59035a7b4fb785eb7,62a51397bf6ce5ce2e84b6cd,2024-10-05T15:14:13.006Z,False,False,20310,5.123152709359606,293,13015,104,1,4,0,8,0,0,104
115,670152b2d5b1df04c3f1da56,62a51397bf6ce5ce2e84b6cd,2024-10-05T14:52:34.881Z,False,False,20100,5.024875621890547,281,13872,101,1,0,1,9,0,0,101
116,67005a539035a7b4fb76e1ef,62a51397bf6ce5ce2e84b6cd,2024-10-04T21:12:51.608Z,False,False,20335,4.967213114754099,276,13097,101,3,3,1,7,0,0,101
117,6700563b913e03a9a4ab0848,62a51397bf6ce5ce2e84b6cd,2024-10-04T20:55:23.965Z,False,False,20251.666666666668,5.037037037037037,289,13826,102,4,2,0,8,0,2,101
118,6700469ec9650c22a732a1e1,62a51397bf6ce5ce2e84b6cd,2024-10-04T19:48:46.435Z,False,False,20103.333333333332,5.074626865671641,313,13258,102,10,1,0,7,0,0,102
